정보공시 학교코드,학교도로명주소,학교도로명상세주소,전화번호,홈페이지주소,남녀공학구분
S000003503,광주광역시 북구 필문대로 55,"(풍향동,광주교육대학교)",062-520-4363,http://busok.gnue.ac.kr/,남녀공학
S050000210,광주광역시 북구 각화대로39번길 10,"(각화동,각화초등학교)",062-260-2600,www.gakhwa.es.kr,남녀공학
S050000211,광주광역시 북구 북문대로98번길 20,", 경양초등학교 (운암동)",062-520-8303,http://www.kyungyaung.es.kr,남녀공학
S050000212,광주광역시 동구 중앙로 320,(계림동),062-221-8700,http://www.gyelim.es.kr,남녀공학
S050000213,광주광역시 동구 지원로5번길 20,", 광주남초등학교 (소태동)",062-220-1602,http://k-nam.es.kr/,남녀공학
S050000214,광주광역시 동구 준법로 16,", 광주동산초등학교 (지산동)",062-230-9291,www.k-dongsan.es.kr,남녀공학
S050000215,광주광역시 북구 북문대로8번길 21,"(운암동,동운초등학교)",062-520-5500,http://www.dongun.es.kr,남녀공학
S050000216,광주광역시 북구 석곡로 527,"(망월동,광주동초등학교)",062-250-2700,www.dong.es.kr,남녀공학
S050000218,광주광역시 북구 충효샘길 14-30,(충효동),062-528-6423,www.dong.es.kr,남녀공학
S050000219,광주광역시 북구 군왕로 135,"(두암동,광주문화초등학교)",062-260-2002,http://k-munhwa.es.kr,남녀공학
S050000221,광주광역시 동구 산수길 28,"(산수동,산수초등학교)",06-221-8602,www.sansu.es.kr,남녀공학
S050000222,광주광역시 북구 서림로 113,", 광주서림초등학교 (임동)",062-520-8605,http://www.seorim.es.kr,남녀공학
S050000223,광주광역시 북구 우치로 263,(오치동),062-260-8800,http://www.kseosan.es.kr,남녀공학
S050000224,광주광역시 동구 제봉로82번길 26,(서석동),062-220-8100,http://www.seoseok.es.kr.,남녀공학
S050000225,광주광역시 북구 금남로 99,"(북동,수창초등학교)",062-520-2700,http://soochang.es.kr/,남녀공학
S050000226,광주광역시 북구 연양로 33,(양산동)양산초등학교,062-570-8802,,남녀공학
S050000227,광주광역시 북구 서암대로144번길 11,(신안동),062-510-4202,http://www.k-yongbong.es.kr,남녀공학
S050000228,광주광역시 동구 화산로 334,(용산동),062-230-0004,http://www.k-yongsan.es.kr,남녀공학
S050000229,광주광역시 북구 서방로63번길 67,"(우산동,우산초등학교)",062-260-1702,http://www.woosan.es.kr,남녀공학
S050000230,광주광역시 북구 서강로 79-14,(운암동),062-520-5400,http://www.k-unam.es.kr,남녀공학
S050000231,광주광역시 동구 무등로 533,"(산수동,장원초등학교)",062-250-3800,http://www.k-jangwon.es.kr,남녀공학
S050000233,광주광역시 동구 제봉로 167,(궁동),062-220-8204,www.k-jungang.es.kr,남녀공학
S050000234,광주광역시 북구 경양로197번길 25,"(중흥동,중흥초등학교)",062-612-9903,http://www.kjh.es.kr,남녀공학
S050000235,광주광역시 북구 하서로 637,(지야동),062-570-9500,http://www.k-jisan.es.kr/,남녀공학
S050000239,광주광역시 북구 군왕로 51,", 77 (두암동)",062-609-1104,http://www.punghyang.es.kr,남녀공학
S050000240,광주광역시 동구 의재로 181,", 광주학운초등학교 (운림동)",062-220-1701,http://www.hakwoon.es.kr,남녀공학
S050000241,광주광역시 북구 서양로 99,", 광주효동초등학교 (중흥동)",062-520-2800,http://www.ghd.es.kr,남녀공학
S050000242,광주광역시 북구 대자로 5,", 대자초등학교 (운암동)",062-520-3103,http://www.daeja.es.kr/,남녀공학
S050000243,광주광역시 북구 동림용산로 7,"(동림동,동림초등학교)",062-520-6601,www.dongrim.es.kr,남녀공학
S050000244,광주광역시 북구 참판로 130,"(두암동,두암초등학교)",062-250-6603,http://www.duam.es.kr,남녀공학
S050000245,광주광역시 북구 초당로 25,", 매곡초등학교 (매곡동)",062-570-5800,http://k-maegok.es.kr,남녀공학
S050000246,광주광역시 북구 면앙로 99,(우산동),062-260-3802,http://mudeung.es.kr,남녀공학
S050000247,광주광역시 북구 문산로 66,(문흥동),062-250-2102,http://www.munsan.es.kr,남녀공학
S050000248,광주광역시 북구 대천로169번길 7,"(문흥동,문정초등학교)",260-1606,www.munjung.es.kr,남녀공학
S050000249,광주광역시 북구 문산로 17,", 문흥중앙초등학교 (문흥동)",062-250-0590,,남녀공학
